PCPID,memberMonths,rn
3641,14343,400
34834,14264,401
74078,14259,402
67502,14182,403
24426,14180,404
10872,14179,405
35039,14127,406
13271,14107,407
25257,14023,408
58381,14020,409
66615,14015,410
6613,14007,411
16681,14005,412
6,13945,413
7574,13916,414
15999,13903,415
11524,13851,416
21076,13844,417
51281,13757,418
39811,13727,419
20950,13650,420
48564,13631,421
39918,13607,422
19798,13597,423
41322,13590,424
52024,13526,425
11985,13507,426
86781,13500,427
20127,13496,428
5159,13495,429
73186,13475,430
30998,13419,431
26474,13358,432
4,13357,433
69574,13277,434
41335,13267,435
46634,13187,436
65446,13141,437
40516,13124,438
34434,13099,439
38403,13096,440
24870,13086,441
37767,13058,442
45828,13046,443
48342,13029,444
66303,13005,445
8908,12969,446
75810,12968,447
32626,12875,448
64012,12852,449
48525,12840,450
24299,12838,451
67005,12827,452
38054,12815,453
28787,12796,454
68752,12786,455
45657,12771,456
30074,12681,457
75835,12668,458
70010,12658,459
34653,12654,460
71771,12652,461
18919,12645,462
9769,12639,463
9763,12638,464
41539,12625,465
44082,12616,466
74649,12536,467
25992,12496,468
20530,12482,469
27665,12482,470
29158,12442,471
765,12431,472
45404,12424,473
40436,12420,474
32720,12409,475
65767,12397,476
51403,12377,477
42309,12323,478
19264,12282,479
74706,12240,480
72325,12214,481
65874,12186,482
2985,12145,483
44293,12129,484
19877,12112,485
31237,12112,486
72333,12062,487
21896,12034,488
74503,11983,489
26447,11926,490
123,11924,491
1483,11905,492
1995,11903,493
12146,11866,494
73284,11856,495
3364,11846,496
84436,11832,497
58350,11815,498
54423,11793,499
20854,11784,500
16069,11741,501
25662,11690,502
74368,11626,503
12715,11612,504
19016,11608,505
48604,11549,506
15611,11540,507
26976,11535,508
33633,11434,509
35928,11419,510
15876,11399,511
7675,11357,512
2643,11332,513
8710,11320,514
5796,11262,515
24879,11254,516
20877,11158,517
38174,11133,518
26973,11093,519
6832,11084,520
51163,11070,521
38264,11051,522
22597,11040,523
17684,11023,524
54264,11003,525
4648,10995,526
42268,10981,527
7769,10918,528
5124,10915,529
58583,10910,530
21316,10894,531
26962,10882,532
41752,10868,533
37788,10868,534
40372,10816,535
35919,10799,536
58240,10799,537
81828,10794,538
2988,10767,539
14158,10761,540
82337,10728,541
14816,10718,542
13552,10699,543
27993,10667,544
3023,10655,545
68479,10599,546
67512,10597,547
29264,10592,548
9584,10587,549
66202,10548,550
2651,10505,551
2506,10477,552
26324,10474,553
59373,10386,554
73303,10356,555
5885,10352,556
5486,10314,557
9282,10307,558
57163,10297,559
50753,10292,560
63603,10268,561
8547,10243,562
74958,10217,563
23954,10213,564
42283,10196,565
40033,10188,566
30713,10181,567
54116,10171,568
51463,10166,569
78068,10157,570
54495,10137,571
6745,10107,572
25980,10070,573
72473,10049,574
21126,10006,575
27671,9989,576
51567,9973,577
2,9909,578
46531,9864,579
32638,9859,580
58061,9846,581
24140,9802,582
70009,9780,583
57238,9749,584
25877,9707,585
69496,9694,586
53289,9691,587
50392,9689,588
14207,9686,589
49095,9678,590
11970,9635,591
79066,9632,592
10890,9628,593
8520,9580,594
66296,9550,595
25192,9507,596
48841,9485,597
28195,9460,598
42471,9452,599
4414,9436,600
48876,9431,601
42557,9422,602
58805,9384,603
10219,9288,604
37997,9282,605
30771,9216,606
70769,9212,607
23857,9209,608
72231,9181,609
14537,9142,610
26751,9142,611
69308,9128,612
16690,9110,613
39830,9108,614
15522,9104,615
25894,9078,616
40290,9051,617
77551,9039,618
66006,9022,619
51489,9013,620
33880,9000,621
68343,8936,622
45455,8906,623
27855,8872,624
26264,8803,625
29559,8802,626
39197,8798,627
31484,8794,628
70122,8789,629
8013,8779,630
1049,8756,631
18055,8755,632
10,8749,633
68817,8735,634
9109,8730,635
80936,8716,636
53412,8704,637
11608,8695,638
55179,8669,639
17218,8633,640
3,8626,641
9635,8614,642
30884,8601,643
35826,8587,644
33772,8558,645
19165,8557,646
5807,8541,647
26789,8530,648
9954,8528,649
25046,8498,650
10787,8494,651
18744,8473,652
3839,8468,653
55537,8460,654
18994,8441,655
12311,8422,656
18639,8416,657
34647,8408,658
59408,8351,659
30507,8338,660
76240,8325,661
8276,8264,662
24608,8235,663
6486,8211,664
6985,8211,665
68473,8207,666
67468,8192,667
11118,8191,668
21474,8187,669
76802,8186,670
35950,8173,671
83129,8156,672
6793,8117,673
30778,8105,674
29070,8103,675
16878,8082,676
12245,8023,677
28100,8016,678
68862,8014,679
33156,7961,680
64925,7953,681
67799,7953,682
69168,7952,683
60092,7944,684
26190,7927,685
32494,7910,686
9287,7893,687
76777,7876,688
81494,7864,689
23910,7849,690
69628,7846,691
26052,7811,692
47402,7799,693
71522,7797,694
44963,7796,695
4991,7789,696
18119,7786,697
33122,7785,698
25230,7770,699
6377,7768,700
64019,7755,701
13041,7749,702
12496,7705,703
54081,7689,704
16782,7669,705
39984,7667,706
48671,7621,707
22253,7615,708
22530,7611,709
57188,7609,710
77881,7580,711
72854,7560,712
84600,7559,713
20282,7557,714
64076,7556,715
83487,7552,716
26820,7539,717
13131,7533,718
65497,7530,719
25921,7528,720
47512,7500,721
34155,7498,722
71240,7496,723
47895,7482,724
28279,7470,725
26285,7452,726
47106,7436,727
27668,7435,728
21427,7429,729
66103,7417,730
414,7416,731
54677,7363,732
48242,7359,733
38140,7337,734
23341,7250,735
47742,7241,736
83256,7227,737
39942,7226,738
45496,7194,739
35274,7179,740
31541,7161,741
67894,7155,742
21114,7154,743
32376,7150,744
45202,7141,745
42641,7135,746
66939,7132,747
40174,7113,748
13749,7106,749
26672,7105,750
54170,7097,751
67999,7086,752
47283,7081,753
39668,7080,754
28497,7076,755
53595,7074,756
64860,7072,757
57869,7071,758
52076,7055,759
42867,7052,760
67249,7039,761
44797,7032,762
17297,7027,763
4653,7012,764
21920,7011,765
23833,6975,766
39785,6975,767
65347,6971,768
42809,6964,769
47897,6955,770
1805,6927,771
59398,6892,772
35685,6878,773
57540,6876,774
59701,6865,775
41635,6856,776
78320,6818,777
8569,6795,778
16190,6784,779
45830,6779,780
55257,6760,781
8869,6754,782
40215,6741,783
70443,6731,784
20461,6713,785
23881,6708,786
69141,6708,787
13697,6673,788
30235,6596,789
33352,6584,790
46704,6575,791
37794,6574,792
76856,6558,793
56339,6556,794
59332,6550,795
55545,6539,796
26177,6531,797
42474,6485,798
29650,6478,799
742,6473,800
17277,6466,801
42422,6462,802
22675,6459,803
73149,6442,804
79945,6441,805
75347,6434,806
41418,6411,807
66005,6408,808
73094,6404,809
14989,6401,810
32123,6391,811
53488,6388,812
82065,6384,813
36183,6382,814
25049,6377,815
14266,6352,816
31619,6336,817
13234,6333,818
67076,6322,819
84248,6319,820
12993,6302,821
3052,6301,822
18077,6300,823
68885,6298,824
58159,6298,825
49111,6264,826
79986,6258,827
27845,6251,828
30154,6218,829
51460,6212,830
72135,6205,831
16055,6195,832
63965,6166,833
74606,6126,834
23162,6113,835
29896,6087,836
31960,6061,837
18083,6046,838
57768,5997,839
82227,5987,840
10979,5979,841
51087,5964,842
56762,5941,843
82243,5918,844
15136,5907,845
47471,5903,846
77479,5895,847
44598,5890,848
52060,5889,849
6998,5877,850
29180,5869,851
70606,5854,852
47429,5852,853
37820,5850,854
585,5841,855
19052,5837,856
39855,5832,857
75913,5828,858
59795,5821,859
27575,5806,860
85651,5800,861
27234,5788,862
14822,5776,863
9447,5776,864
5898,5775,865
15123,5737,866
15546,5734,867
67497,5731,868
66414,5723,869
27453,5709,870
80641,5701,871
63836,5695,872
12874,5681,873
30500,5675,874
75052,5649,875
41355,5642,876
82408,5641,877
24588,5640,878
44457,5633,879
58991,5618,880
31716,5607,881
3413,5602,882
66630,5600,883
50959,5587,884
32280,5582,885
56878,5573,886
12280,5572,887
31662,5565,888
27874,5533,889
32498,5532,890
1633,5520,891
55364,5518,892
13586,5499,893
28362,5494,894
39706,5471,895
81273,5466,896
32110,5466,897
63592,5435,898
65043,5432,899
30391,5415,900
23570,5413,901
12908,5400,902
39995,5392,903
11175,5379,904
10071,5333,905
24950,5330,906
40592,5311,907
6575,5311,908
59748,5289,909
4731,5279,910
19056,5276,911
4964,5271,912
23025,5268,913
27477,5267,914
23644,5262,915
17578,5261,916
69568,5226,917
64999,5216,918
214,5212,919
31359,5204,920
77775,5204,921
20874,5202,922
40245,5202,923
23501,5179,924
27116,5176,925
65603,5167,926
50907,5165,927
59997,5140,928
946,5133,929
55692,5115,930
9146,5115,931
11876,5096,932
4429,5095,933
7,5075,934
41748,5075,935
19070,5066,936
85414,5066,937
81459,5064,938
26738,5037,939
51762,5029,940
75515,5025,941
29911,5010,942
42106,4998,943
11005,4995,944
75779,4973,945
54878,4962,946
57306,4954,947
38746,4944,948
57791,4936,949
4196,4935,950
81694,4920,951
53313,4920,952
8776,4919,953
46699,4909,954
50658,4903,955
65092,4903,956
67858,4897,957
23762,4894,958
66827,4881,959
21880,4877,960
30136,4871,961
19944,4855,962
45767,4853,963
31035,4837,964
27804,4835,965
66454,4829,966
48429,4824,967
18339,4823,968
74526,4820,969
579,4815,970
7353,4803,971
41135,4797,972
45301,4793,973
28255,4787,974
28557,4786,975
35120,4782,976
2997,4773,977
18965,4771,978
81269,4767,979
74627,4767,980
9057,4765,981
10210,4758,982
41143,4757,983
1632,4753,984
16318,4751,985
15764,4747,986
41696,4743,987
17598,4735,988
993,4720,989
17739,4709,990
60079,4709,991
81532,4709,992
481,4706,993
79782,4703,994
14398,4697,995
35283,4693,996
68688,4676,997
1476,4654,998
52909,4648,999
50400,4645,1000
